Make,Model,Title,Price,Mileage,Year,Transmission,Fuel Type,Reviews,Rating,CO2 Emission,Engine Size,Color,Doors,Body Type,Distance
Hyundai,Tucson,Hyundai Tucson 1.6 TGDi 48V MHD SE Connect 5dr 2WD DCT,"£25,728","14,186",2022,Semiauto,Hybrid,11,4.5,144 g/km,1.6 L,White,5,Suv,7 miles
Hyundai,Tucson,Hyundai Tucson 1.6 TGDi Hybrid 230 SE Connect 5dr 2WD Auto,"£27,192","17,631",2021,Semiauto,Hybrid,11,4.5,127 g/km,1.6 L,Black,5,Suv,7 miles
Hyundai,Tucson,Hyundai Tucson 1.6 TGDi 48V MHD SE Connect 5dr 2WD DCT,"£27,204","3,334",2022,Semiauto,Hybrid,11,4.5,144 g/km,1.6 L,Silver,5,Suv,7 miles
Hyundai,IONIQ,Hyundai IONIQ 100kW Premium 38kWh 5dr Auto,"£27,400","5,000",2022,Automatic,Electric,,,,,Grey,5,Hatchback,7 miles
Hyundai,Tucson,Hyundai Tucson 1.6 TGDi Hybrid 230 SE Connect 5dr 2WD Auto,"£28,308","12,982",2021,Semiauto,Hybrid,11,4.5,127 g/km,1.6 L,Black,5,Suv,7 miles
Hyundai,Kona,Hyundai Kona 150kW Premium SE 64kWh 5dr Auto,"£31,960","7,799",2020,Automatic,Electric,,,,,Grey,5,Suv,7 miles
Dacia,Sandero,Dacia Sandero 0.9 TCe Essential 5dr,"£6,989","31,500",2020,Manual,Petrol,15,4.0,121 g/km,0.9 L,Blue,5,Hatchback,8 miles
Dacia,Duster,Dacia Duster 1.5 Blue dCi Essential 5dr,"£9,689","51,750",2019,Manual,Diesel,19,4.0,111 g/km,1.5 L,White,5,Suv,8 miles
Renault,Clio,Renault Clio 0.9 TCE 75 Play 5dr,"£9,789","15,542",2019,Manual,Petrol,115,4.0,113 g/km,0.9 L,Black,5,Hatchback,8 miles
Renault,Captur,Renault Captur 1.5 dCi 90 Dynamique Nav 5dr Auto,"£10,989","45,643",2017,Semiauto,Diesel,9,4.5,99 g/km,1.5 L,Blue,5,Suv,8 miles
Dacia,Duster,Dacia Duster 1.0 TCe 100 Essential 5dr,"£11,489","6,945",2020,Manual,Petrol,19,4.0,141 g/km,1.0 L,Orange,5,Suv,8 miles
Dacia,Duster,Dacia Duster 1.3 TCe 130 Comfort 5dr,"£12,489","21,673",2019,Manual,Petrol,19,4.0,139 g/km,1.3 L,Grey,5,Suv,8 miles
Renault,Zoe,Renault Zoe 80kW Dynamique Nav R110 40kWh 5dr Auto,"£12,489","15,038",2019,Automatic,Electric,,,,,Grey,5,Hatchback,8 miles
Renault,Clio,Renault Clio 1.0 TCe 100 Iconic 5dr,"£12,989","21,719",2020,Manual,Petrol,115,4.0,117 g/km,1.0 L,Blue,5,Hatchback,8 miles
Dacia,Sandero,Dacia Sandero 1.0 TCe Comfort 5dr,"£13,489","5,445",2021,Manual,Petrol,15,4.0,120 g/km,1.0 L,Red,5,Hatchback,8 miles
Renault,Zoe,Renault Zoe 68kW Dynamique Nav 41kWh 5dr Auto,"£13,489","56,956",2018,Automatic,Electric,,,,,Blue,5,Hatchback,8 miles
Dacia,Duster,Dacia Duster 1.3 TCe 130 SE Twenty 5dr,"£14,689","15,511",2020,Manual,Petrol,19,4.0,149 g/km,1.3 L,White,5,Suv,8 miles
Dacia,Duster,Dacia Duster 1.0 TCe 90 Prestige 5dr [6 Speed],"£15,489","6,397",2021,Manual,Petrol,19,4.0,142 g/km,1.0 L,Orange,5,Suv,8 miles
Renault,Grand Scenic,Renault Grand Scenic 1.5 dCi Dynamique Nav 5dr,"£16,489","27,000",2018,Manual,Diesel,38,4.0,104 g/km,1.5 L,Blue,5,Mpv,8 miles
Renault,Kadjar,Renault Kadjar 1.3 TCE S Edition 5dr,"£16,789","17,927",2019,Manual,Petrol,1,5.0,133 g/km,1.3 L,Blue,5,Suv,8 miles
Renault,Zoe,Renault Zoe 80kW i Iconic R110 50kWh 5dr Auto,"£16,989","9,059",2020,Automatic,Electric,,,,,White,5,Hatchback,8 miles
Renault,Kangoo,Renault Kangoo LL21 44kW 33kWh Business i-Crew Van Cab Auto,"£17,398","32,128",2020,Automatic,Electric,14,4.5,,,White,0,Van,8 miles
Skoda,Octavia,Skoda Octavia 2.0 TDI CR SE L 5dr DSG [7 speed],"£15,580","57,220",2019,Semiauto,Diesel,171,4.5,110 g/km,2.0 L,Grey,5,Hatchback,9 miles
Suzuki,Vitara,Suzuki Vitara 1.4 Boosterjet 48V Hybrid SZ-T 5dr,"£17,740","11,222",2022,Manual,Hybrid,32,4.0,121 g/km,1.4 L,Grey,5,Suv,9 miles
Suzuki,Vitara,Suzuki Vitara 1.4 Boosterjet 48V Hybrid SZ-T 5dr,"£17,840","9,393",2022,Manual,Hybrid,32,4.0,121 g/km,1.4 L,Other,5,Suv,9 miles
Kia,Stonic,Kia Stonic 1.0T GDi 48V GT-Line 5dr,"£18,980","5,382",2022,Manual,Hybrid,1,4.0,127 g/km,1.0 L,Red,5,Suv,9 miles
Suzuki,Vitara,Suzuki Vitara 1.4 Boosterjet 48V Hybrid SZ-T 5dr,"£18,980",717,2022,Manual,Hybrid,32,4.0,121 g/km,1.4 L,Grey,5,Suv,9 miles
Kia,Ceed,Kia Ceed 1.5T GDi ISG 3 5dr,"£19,480","11,708",2022,Manual,Petrol,63,4.5,129 g/km,1.5 L,Silver,5,Hatchback,9 miles
