make,model,title,price,mileage,year,transmission,fuel_type,reviews,rating,color,doors,body_type,distance
Toyota,Corolla,Toyota Corolla 1.6 VVT-i Colour Collection 5dr,2490,121000,2006,Manual,Petrol,68.0,4.5,Blue,5,Hatchback,9 miles
Ford,Fiesta,Ford Fiesta 1.25 Style Climate 3dr,2490,75000,2007,Manual,Petrol,373.0,4.0,Silver,3,Hatchback,9 miles
Saab,9-3,Saab 9-3 2.0T Vector 2dr,2490,107000,2006,Manual,Petrol,119.0,4.5,Black,2,Convertible,9 miles
Peugeot,407,Peugeot 407 2.0 HDi FAP SR 4dr,2490,107000,2010,Manual,Diesel,20.0,4.5,Red,4,Saloon,9 miles
Jaguar,X-Type,Jaguar X-Type 2.5 V6 SE (AWD) 4dr,2490,92000,2002,Automatic,Petrol,128.0,4.0,Green,4,Saloon,9 miles
Vauxhall,Astra,Vauxhall Astra 1.6i 16v Life 5dr,2490,79000,2009,Manual,Petrol,368.0,4.0,Silver,5,Hatchback,9 miles
Renault,Clio,Renault Clio 1.5 dCi Dynamique 5dr (a/c),2490,91000,2007,Manual,Diesel,115.0,4.0,Black,5,Hatchback,9 miles
Saab,9-3,Saab 9-3 2.0T Vector 2dr,2490,104000,2006,Manual,Petrol,119.0,4.5,Blue,2,Convertible,9 miles
Vauxhall,Astra,Vauxhall Astra 1.4i 16v Breeze 5dr,2790,88000,2008,Manual,Petrol,368.0,4.0,N/a,5,Hatchback,9 miles
Peugeot,807,Peugeot 807 2.2 HDi Executive 5dr,2890,117000,2005,Manual,Diesel,4.0,4.0,Silver,5,Mpv,9 miles
Jaguar,X-Type,Jaguar X-Type 2.2D DPF S 4dr,2890,116000,2008,Automatic,Diesel,128.0,4.0,Silver,4,Saloon,9 miles
Renault,Clio,Renault Clio 1.5 dCi Dynamique TomTom Sport Tourer Euro 4 5dr,2890,103000,2010,Manual,Diesel,115.0,4.0,Green,5,Estate,9 miles
Fiat,Punto Evo,Fiat Punto Evo 1.4 Dynamic Euro 5 (s/s) 5dr,2990,73000,2011,Manual,Petrol,68.0,4.0,Grey,5,Hatchback,9 miles
Peugeot,407,Peugeot 407 2.0 HDi FAP Sport 4dr,2990,94000,2010,Automatic,Diesel,20.0,4.5,Red,4,Saloon,9 miles
Renault,Scenic,Renault Scenic 2.0 VVT Dynamique S 5dr,2990,67000,2008,Manual,Petrol,105.0,4.0,Grey,5,Mpv,9 miles
Renault,Modus,Renault Modus 1.6 16v Dynamique 5dr,2990,71000,2005,Automatic,Petrol,19.0,4.0,Red,5,Hatchback,9 miles
