sales_title,url,location
Volkswagen T-Cross 1.5 TSI EVO R-Line 5dr DSG,https://www.theaa.com/used-cars/cardetails/137-2220202,9 miles
Kia Niro 1.6 GDi Hybrid 4 5dr DCT,https://www.theaa.com/used-cars/cardetails/137-2230415,9 miles
Kia e-Niro 150kW 4 64kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-2217955,9 miles
Kia e-Niro 150kW 4 64kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-2169979,9 miles
Kia e-Niro 150kW 2 Long Range 64kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-2071800,9 miles
Kia e-Niro 150kW 4+ 64kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-1971015,9 miles
Audi Q5 40 TDI Quattro Black Edition 5dr S Tronic,https://www.theaa.com/used-cars/cardetails/137-1959132,9 miles
Jaguar I-Pace 294kW EV400 HSE 90kWh 5dr Auto,https://www.theaa.com/used-cars/cardetails/137-1986244,9 miles
Hyundai i10 1.0 Go SE 5dr,https://www.theaa.com/used-cars/cardetails/137-2237241,9 miles
Ford Fiesta 1.0 EcoBoost 140 ST-Line Black 3dr,https://www.theaa.com/used-cars/cardetails/137-2195365,9 miles
Nissan Qashqai 1.5 dCi N-Vision 5dr,https://www.theaa.com/used-cars/cardetails/137-2237243,9 miles
Vauxhall Mokka X 1.4T ecoTEC Elite 5dr,https://www.theaa.com/used-cars/cardetails/137-2185859,9 miles
Lexus CT 200h 1.8 Luxury 5dr CVT Auto,https://www.theaa.com/used-cars/cardetails/137-2194345,9 miles
Lexus CT 200H 1.8 Luxury 5Dr Cvt,https://www.theaa.com/used-cars/cardetails/137-2244804,9 miles
Audi Q3 2.0T FSI Quattro S Line Plus 5dr S Tronic,https://www.theaa.com/used-cars/cardetails/137-2244803,9 miles
Honda Jazz 1.5 i-MMD Hybrid SR 5dr eCVT,https://www.theaa.com/used-cars/cardetails/137-2139049,9 miles
Volvo XC60 D5 [220] R DESIGN Lux Nav 5dr AWD Geartronic,https://www.theaa.com/used-cars/cardetails/137-2160449,9 miles
Lexus CT 200h 1.8 5dr CVT,https://www.theaa.com/used-cars/cardetails/137-2174800,9 miles
Lexus UX 250h 2.0 5dr CVT [without Nav],https://www.theaa.com/used-cars/cardetails/137-2244807,9 miles
Lexus UX 250h 2.0 5dr CVT [without Nav],https://www.theaa.com/used-cars/cardetails/137-2244808,9 miles
Mercedes-Benz C-Class C300d AMG Line Premium 2dr 9G-Tronic,https://www.theaa.com/used-cars/cardetails/137-2169456,9 miles
Lexus UX 250h 2.0 5dr CVT [Nav],https://www.theaa.com/used-cars/cardetails/137-1368123,9 miles
Lexus RX 450h 3.5 Luxury 5dr CVT,https://www.theaa.com/used-cars/cardetails/137-2244805,9 miles
Lexus UX 250h 2.0 5dr CVT [without Nav],https://www.theaa.com/used-cars/cardetails/137-2160448,9 miles
Lexus UX 250h 2.0 5dr CVT [without Nav],https://www.theaa.com/used-cars/cardetails/137-2133790,9 miles
Lexus UX 250h 2.0 5dr CVT [without Nav],https://www.theaa.com/used-cars/cardetails/137-2133789,9 miles
Lexus UX 250h 2.0 5dr CVT [Nav],https://www.theaa.com/used-cars/cardetails/137-1832815,9 miles
"Lexus NX 300h 2.5 5dr CVT [8"" Nav]",https://www.theaa.com/used-cars/cardetails/137-2192052,9 miles
Lexus ES 300h 2.5 F-Sport 4dr CVT,https://www.theaa.com/used-cars/cardetails/137-2199593,9 miles
Lexus NX 300h 2.5 Sport 5dr CVT [Premium Nav],https://www.theaa.com/used-cars/cardetails/137-2047444,9 miles
Lexus UX 250h 2.0 F-Sport 5dr CVT [Nav],https://www.theaa.com/used-cars/cardetails/137-2166368,9 miles
Lexus IS 300h Takumi 4dr CVT Auto,https://www.theaa.com/used-cars/cardetails/137-2074183,9 miles
Lexus UX 250h 2.0 F-Sport 5dr CVT [Nav],https://www.theaa.com/used-cars/cardetails/137-1911114,9 miles
Lexus NX 300h 2.5 F-Sport 5dr CVT [Premium Pack/Leather],https://www.theaa.com/used-cars/cardetails/137-2192053,9 miles
Lexus ES 300h 2.5 4dr CVT,https://www.theaa.com/used-cars/cardetails/137-2133787,9 miles
Lexus UX 250h 2.0 F-Sport 5dr CVT [Nav],https://www.theaa.com/used-cars/cardetails/137-2244809,9 miles
Lexus ES 300h 2.5 4dr CVT,https://www.theaa.com/used-cars/cardetails/137-2188875,9 miles
Lexus UX 250h 2.0 F-Sport 5dr CVT [Nav],https://www.theaa.com/used-cars/cardetails/137-2012860,9 miles
Lexus ES 300h 2.5 4dr CVT,https://www.theaa.com/used-cars/cardetails/137-2065485,9 miles
"Lexus NX 300h 2.5 5dr CVT [8"" Nav]",https://www.theaa.com/used-cars/cardetails/137-2051692,9 miles
Lexus RX 450h 3.5 5dr CVT,https://www.theaa.com/used-cars/cardetails/137-2210007,9 miles
Lexus ES 300h 2.5 Takumi 4dr CVT,https://www.theaa.com/used-cars/cardetails/137-2160447,9 miles
Lexus ES 300h 2.5 F-Sport 4dr CVT,https://www.theaa.com/used-cars/cardetails/137-1834117,9 miles
"Lexus NX 300h 2.5 5dr CVT [8"" Nav]",https://www.theaa.com/used-cars/cardetails/137-2045215,9 miles
